LocalDate,CloudCover,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,over 1/2 of sky,,,,,,,,
2/23/2008,1/4 of sky,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,1/4 of sky,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,1/4 of sky,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,1/2 of sky,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,1/2 of sky,,,,,,,,
2/23/2008,1/2 of sky,,,,,,,,
2/23/2008,1/2 of sky,,,,,,,,
2/23/2008,over 1/2 of sky,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,1/4 of sky,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,1/4 of sky,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,clear,,,,,,,,
2/23/2008,over 1/2 of sky,,,,,,,,
2/23/2008,clear,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,1/4 of sky,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,over 1/2 of sky,,,,,,,,
2/24/2008,1/4 of sky,,,,,,,,
2/24/2008,over 1/2 of sky,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,1/4 of sky,,,,,,,,
2/24/2008,1/4 of sky,,,,,,,,
2/24/2008,over 1/2 of sky,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,1/4 of sky,,,,,,,,
2/24/2008,1/4 of sky,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,over 1/2 of sky,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,1/4 of sky,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,1/4 of sky,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,over 1/2 of sky,,,,,,,,
2/24/2008,1/4 of sky,,,,,,,,
2/24/2008,clear,,,,,,,,
2/24/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,1/4 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,1/4 of sky,,,,,,,,
2/25/2008,1/2 of sky,,,,,,,,
2/25/2008,1/4 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,1/4 of sky,,,,,,,,
2/25/2008,1/4 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,1/4 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,1/4 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,1/4 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,1/4 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,1/4 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,1/4 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,1/2 of sky,,,,,,,,
2/25/2008,1/2 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,1/4 of sky,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,over 1/2 of sky,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,clear,,,,,,,,
2/25/2008,1/4 of sky,,,,,,,,
2/25/2008,1/2 of sky,,,,,,,,
