LocalDate,CloudCover,,,,,,,,
3/16/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,over 1/2 of sky,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/2 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,1/2 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,over 1/2 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,1/2 of sky,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,1/2 of sky,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,1/4 of sky,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
3/17/2009,clear,,,,,,,,
