LocalDate,CloudCover,,,,,,,,,,,,,,
1/1/2018,1/4 of sky,,,,,,,,,,,,,,
1/2/2018,clear,,,,,,,,,,,,,,
1/2/2018,clear,,,,,,,,,,,,,,
1/1/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/2/2018,clear,,,,,,,,,,,,,,
1/2/2018,clear,,,,,,,,,,,,,,
1/2/2018,1/2 of sky,,,,,,,,,,,,,,
1/2/2018,clear,,,,,,,,,,,,,,
1/2/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/2/2018,1/4 of sky,,,,,,,,,,,,,,
1/2/2018,1/2 of sky,,,,,,,,,,,,,,
12/17/2018,1/4 of sky,,,,,,,,,,,,,,
1/2/2018,1/4 of sky,,,,,,,,,,,,,,
1/2/2018,1/2 of sky,,,,,,,,,,,,,,
1/3/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/3/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/3/2018,clear,,,,,,,,,,,,,,
1/4/2018,clear,,,,,,,,,,,,,,
1/4/2018,1/4 of sky,,,,,,,,,,,,,,
1/3/2018,clear,,,,,,,,,,,,,,
1/4/2018,over 1/2 of sky,,,,,,,,,,,,,,
1/6/2018,1/4 of sky,,,,,,,,,,,,,,
1/6/2018,1/4 of sky,,,,,,,,,,,,,,
1/6/2018,1/4 of sky,,,,,,,,,,,,,,
1/6/2018,1/4 of sky,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,1/4 of sky,,,,,,,,,,,,,,
1/6/2018,1/4 of sky,,,,,,,,,,,,,,
1/6/2018,1/4 of sky,,,,,,,,,,,,,,
1/6/2018,1/4 of sky,,,,,,,,,,,,,,
1/6/2018,1/4 of sky,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,1/4 of sky,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,1/4 of sky,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/5/2018,clear,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,1/2 of sky,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,clear,,,,,,,,,,,,,,
1/6/2018,over 1/2 of sky,,,,,,,,,,,,,,
